        t         wt_avg         wt_std       dwdt_avg       dwdt_std
  0.00000    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00005    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00010    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00015    6.03770E-09    1.51052E-09    2.41508E-04    6.04207E-05
  0.00020    1.85656E-08    4.42775E-09    2.59607E-04    6.28668E-05
  0.00025    3.44761E-08    8.21014E-09    3.76816E-04    1.24196E-04
  0.00030    5.99439E-08    1.47672E-08    6.41896E-04    1.81623E-04
  0.00035    9.32227E-08    2.23952E-08    6.89254E-04    2.42345E-04
  0.00040    1.32278E-07    3.16431E-08    8.72946E-04    2.74958E-04
  0.00045    1.75849E-07    4.16983E-08    8.69897E-04    2.25948E-04
  0.00050    2.20804E-07    5.12296E-08    9.28318E-04    2.63071E-04
  0.00055    2.83861E-07    6.69253E-08    1.59395E-03    5.26081E-04
  0.00060    3.57749E-07    8.53126E-08    1.36158E-03    3.58660E-04
  0.00065    4.38633E-07    1.01999E-07    1.87378E-03    4.61487E-04
  0.00070    5.42249E-07    1.24272E-07    2.27086E-03    6.04330E-04
  0.00075    6.70986E-07    1.54198E-07    2.87864E-03    8.13503E-04
  0.00080    8.25795E-07    1.93935E-07    3.31372E-03    1.10084E-03
  0.00085    9.70094E-07    2.33708E-07    2.45824E-03    7.99420E-04
  0.00090    1.11489E-06    2.75019E-07    3.33366E-03    1.25751E-03
  0.00095    1.28929E-06    3.23434E-07    3.64216E-03    1.06282E-03
  0.00100    1.48798E-06    3.71380E-07    4.30556E-03    1.37848E-03
  0.00105    1.72885E-06    4.26318E-07    5.32930E-03    2.45984E-03
  0.00110    1.99550E-06    4.94789E-07    5.33655E-03    1.64659E-03
  0.00115    2.22174E-06    5.47097E-07    3.71303E-03    1.04886E-03
  0.00120    2.41139E-06    5.83156E-07    3.87313E-03    1.07180E-03
  0.00125    2.62166E-06    6.16744E-07    4.53777E-03    1.46436E-03
  0.00130    2.85674E-06    6.56152E-07    4.86539E-03    1.51362E-03
  0.00135    3.13604E-06    7.25130E-07    6.30657E-03    2.20974E-03
  0.00140    3.44056E-06    8.09243E-07    5.87413E-03    1.93635E-03
  0.00145    3.73304E-06    8.72411E-07    5.82510E-03    2.25712E-03
  0.00150    4.05914E-06    9.35727E-07    7.21898E-03    2.92243E-03
  0.00155    4.43752E-06    1.01537E-06    7.91617E-03    3.23274E-03
  0.00160    4.80660E-06    1.09788E-06    6.84686E-03    2.69331E-03
  0.00165    5.20909E-06    1.21099E-06    9.25294E-03    3.63772E-03
  0.00170    5.61481E-06    1.35664E-06    6.97589E-03    3.76916E-03
  0.00175    5.99141E-06    1.49532E-06    8.08814E-03    3.23354E-03
  0.00180    6.37692E-06    1.60717E-06    7.33220E-03    2.88452E-03
  0.00185    6.78194E-06    1.72336E-06    8.86871E-03    3.63339E-03
  0.00190    7.33197E-06    1.86365E-06    1.31323E-02    4.64872E-03
  0.00195    7.96424E-06    1.99607E-06    1.21586E-02    4.00940E-03
  0.00200    8.53044E-06    2.11147E-06    1.04891E-02    3.30892E-03
  0.00205    9.00609E-06    2.20798E-06    8.53680E-03    2.51155E-03
  0.00210    9.54178E-06    2.32339E-06    1.28912E-02    4.08931E-03
  0.00215    1.01245E-05    2.47052E-06    1.04177E-02    3.37227E-03
  0.00220    1.06797E-05    2.59520E-06    1.17881E-02    3.80786E-03
  0.00225    1.12226E-05    2.69458E-06    9.92796E-03    3.33250E-03
  0.00230    1.18532E-05    2.80141E-06    1.52995E-02    7.12398E-03
  0.00235    1.24445E-05    2.92800E-06    8.35050E-03    2.68958E-03
  0.00240    1.28378E-05    3.02142E-06    7.38271E-03    2.20382E-03
  0.00245    1.32211E-05    3.09084E-06    7.94748E-03    2.44306E-03
  0.00250    1.35571E-05    3.14043E-06    5.49188E-03    1.56698E-03
  0.00255    1.38938E-05    3.17516E-06    7.97666E-03    2.00527E-03
  0.00260    1.43378E-05    3.21325E-06    9.78228E-03    2.76117E-03
  0.00265    1.48417E-05    3.25742E-06    1.03746E-02    3.21070E-03
  0.00270    1.54044E-05    3.32088E-06    1.21346E-02    4.28896E-03
  0.00275    1.60243E-05    3.39915E-06    1.26610E-02    3.55445E-03
  0.00280    1.65747E-05    3.46440E-06    9.35430E-03    2.55866E-03
  0.00285    1.70891E-05    3.52153E-06    1.12208E-02    3.51927E-03
  0.00290    1.76622E-05    3.60258E-06    1.17033E-02    4.01016E-03
  0.00295    1.82861E-05    3.72268E-06    1.32528E-02    6.84769E-03
  0.00300    1.87968E-05    3.82673E-06    7.17655E-03    2.63110E-03
  0.00305    1.91935E-05    3.88803E-06    8.69262E-03    2.54397E-03
  0.00310    1.97602E-05    4.00036E-06    1.39747E-02    5.92801E-03
  0.00315    2.04052E-05    4.12558E-06    1.18254E-02    3.71989E-03
